player_id,player_nick
5736,kNgV-
2532,mch
7382,steel
5698,pava
10563,caike
2492,lrz
11247,invul
10814,gut0
5737,fv
168,cogu
2469,cajunb
7592,device
7398,dupreeh
429,karrigan
4954,Xyp9x
483,Edward
484,Zeus
7594,flamie
2757,GuardiaN
3347,seized
7266,syrsoN
7265,r0b
7263,dynrmight
7302,devn
7264,enkay J
5794,tabseN
7202,DavoN
2319,mat
3252,LEGIJA
2314,avenue
10565,titi
11302,NorT
10797,m4zu
10798,lgzn
10795,sea
8708,Slemmy
10372,kaboose
9571,cJ
9705,dsr
9069,Nifty
12102,djay
11230,aproto
8493,Char
12272,cardiac
10897,Strong Legs
472,B1ad3
7796,wayLander
7403,WorldEdit
1866,Shara
338,markeloff
13013,seziwana
20202,JDubs
14618,sherps
19212,Ryze
8516,valens
12113,Jonji
13589,Spongey
14111,alter
8707,ptr
16599,Swisher
7208,smn
2304,Kirby
7206,disruptor
2154,hally
478,ed1k
499,hooch
7490,pipsoN
736,OverDrive
16817,hardzao
16816,vsm
10827,prt
16695,tiburci0
11736,GUTO22
14445,kaiG
14394,Tuurtle
14390,WOOD7
17805,frostt
15920,krg
11474,zorboT
8770,MoeycQ
625,ferg
11482,white
8084,SnypeR
11847,Texta
12760,badger
11844,flickz
11843,BASS
12080,Sync
12591,sterling
2007,ap0c
12593,J1rah
14294,HaZR
12590,soju_j
12715,BL1TZ
9108,tucks
8764,zewsy
8767,ofnu
8611,es3tag
9032,Magisk
7412,gla1ve
11816,ropz
19015,Bymas
9960,frozen
2730,chrisJ
20100,kise
20101,fame
20099,s1natoRRR
12003,Diray
13156,RuFire
19962,Re1GN
16946,Polt
8727,waterfaLLZ
20113,deko
11133,Koshak
8565,HEN1
10560,yel
8566,LUCAS1
9482,NEKIZ
9043,ANDROID
7873,dephh
7810,ShahZaM
8513,yay
8507,stanislaw
15631,KSCERATO
12822,VINI
12553,yuurih
12521,arT
16770,ableJ
13185,Hunter
15855,Delta9
16005,Bl4ckiice
18298,x0ni
10722,gas
10218,wjw
10215,Insane
10291,sPiNacH
10721,M0N3Y
8607,Vgo
8595,813
2283,xpy
7017,PP
2279,space
14450,TSRK
14447,Alucard1
14446,lydaN
14449,RafaGOD
14448,Wynd
14456,mack
14460,zed
14457,shoke
14458,RDG
14459,McL
169,nak
19045,latto
9483,DeStiNy
18743,nython
557,fnx
17039,deco
11534,L!nKz^
9221,reversive
12094,1962
2161,Noktse
12379,Impulse
3732,DiMKE
1007,k1Ng0r
1197,N1GHTMARE
10433,NKsan
5322,UNTOUCHED
5233,osama
4062,Slayness
4576,dEE
10427,fajkus
165,NEO
20246,Grucha
12699,STOMP
161,TaZ
20245,SaMey
14388,The eLiVe
12809,luko
15437,Levi
11260,NIO
13567,Blogg1s
18963,supLex
17861,JOTA
16314,pancc
18717,Lucaozy
11154,exit
16814,danoco
11747,jnt
9161,shoushi
9162,Sakura
9160,impalement
9577,Colona
8632,akioni
9738,Maka
9740,Npoint
9739,Elvis
9737,AFERAX
9741,Cheni
4679,jks
8085,SPUNJ
8086,topguN
8083,Havoc
8082,AZR
8758,xertz
8760,Shadzke
8779,digz
8762,Ar3syK
8778,Stv
13155,speed4k
12746,minse
12249,CHEHOL
13625,Tactus
12752,VladY
7943,uNdo
12736,Twiksar
8293,It's my
14205,R0b3n
9008,FANAT ROCKA
7,Friis
9896,b0RUP
8151,AcilioN
7415,HUNDEN
7154,Pimp
11219,CeRq
10762,Rock1nG
10761,NK4Y
8917,niki1
11217,SPELLAN
15428,Goofy
15940,Sobol
2826,MINISE
11287,darko
9798,lunAtic
8371,alex
3997,loWel
4373,EasTor
9254,mopoz
7805,RUSH
8523,tarik
8735,autimatic
8797,Stewie2K
7440,Skadoodle
9220,SHOOWTiME
6593,PKL
10566,chelo
1206,BTN
9626,XELLOW
14759,iM
